Held-out period,Target 1,Target 2,Target 3,Target 4,Target 5,Weighted R2
Early,0.2943,0.0098,-31.4041,0.6651,0.6802,0.6874
Middle,0.7282,0.2005,0.5725,0.6408,0.6297,0.7462
Late,0.5993,0.3738,0.6731,0.6439,0.6213,0.7153
