iter	Passed	Remaining
141	53210	696231
142	53577	695758
143	53944	695278
144	54307	694760
145	54673	694279
146	55040	693814
147	55404	693302
148	55770	692822
149	56128	692245
150	56497	691813
151	56863	691343
152	57226	690827
153	57418	688270
154	57790	687898
155	58166	687563
156	58538	687169
157	58909	686780
158	59277	686352
159	59652	686006
160	60018	685557
161	60394	685215
162	60760	684772
163	61126	684315
164	61497	683931
165	61872	683574
166	62244	683196
167	62621	682874
168	62993	682487
169	63360	682060
170	63735	681713
171	64105	681309
172	64465	680804
173	64835	680404
174	65201	679958
175	65567	679520
176	65927	679013
177	66294	678591
178	66656	678104
179	67017	677625
180	67379	677141
181	67742	676676
182	68129	676457
183	68556	676624
184	68921	676174
185	69297	675833
186	69666	675427
187	70035	675018
188	70406	674638
189	70775	674230
190	71143	673817
191	71511	673399
192	71877	672965
193	72238	672486
194	72604	672060
195	72993	671836
196	73371	671513
197	73741	671122
198	74100	670629
199	74472	670248
200	74836	669803
201	75207	669418
202	75584	669089
203	75950	668659
204	76319	668263
205	76693	667906
206	77058	667464
207	77434	667126
208	77809	666780
209	78181	666403
210	78545	665958
211	78916	665576
212	79290	665221
213	79657	664802
214	80030	664436
215	80405	664090
216	80784	663769
217	81158	663412
218	81531	663051
219	81905	662686
220	82272	662275
221	82638	661853
222	83011	661484
223	83420	661404
224	83795	661051
225	84154	660579
226	84523	660173
227	84907	659891
228	85264	659405
229	85632	659001
230	86005	658629
231	86377	658259
232	86745	657849
233	87154	657752
234	87537	657460
235	87938	657306
236	88308	656912
237	88679	656525
238	89048	656125
239	89437	655876
240	89804	655460
241	90163	654988
242	90525	654540
243	90891	654118
244	91259	653713
245	91624	653288
246	91991	652878
247	92360	652479
248	92741	652169
249	93167	652171
250	93572	652023
251	93958	651741
252	94331	651369
253	94726	651153
254	95108	650843
255	95534	650827
256	95948	650735
257	96371	650696
258	96741	650295
259	97118	649947
260	97495	649598
261	97866	649204
262	98239	648831
263	98621	648512
264	99015	648270
265	99384	647868
266	99753	647460
267	100115	647012
268	100489	646646
269	100848	646180
270	101212	645741
271	101575	645305
272	101938	644865
273	102309	644476
274	102674	644049
275	103039	643624
276	103428	643348
277	103795	642936
278	104166	642544
279	104547	642219
280	104925	641878
281	105299	641507
282	105681	641184
283	106057	640826
284	106487	640791
285	106854	640378
286	107222	639971
287	107601	639632
288	107971	639233
289	108337	638814
290	108709	638432
291	109078	638035
292	109447	637637
293	109811	637203
294	110176	636785
295	110559	636464
296	110932	636086
297	111304	635704
298	111671	635297
299	112051	634960
300	112424	634582
301	112801	634226
302	113171	633836
303	113546	633469
304	113913	633060
305	114292	632717
306	114662	632322
307	115030	631918
308	115407	631569
309	115778	631177
310	116147	630779
311	116525	630434
312	116893	630029
313	117264	629642
314	117633	629244
315	117999	628833
316	118363	628408
317	118739	628049
318	119108	627650
319	119469	627216
320	119830	626775
321	120200	626383
322	120564	625965
323	120932	625565
324	121309	625210
325	121678	624815
326	122049	624432
327	122427	624080
328	122799	623703
329	123175	623344
330	123547	622961
331	123913	622551
332	124285	622173
333	124646	621739
334	125009	621317
335	125412	621088
336	125784	620712
337	126151	620308
338	126522	619923
339	126896	619554
340	127266	619163
341	127640	618793
342	128012	618415
343	128395	618088
344	128791	617828
345	129174	617497
346	129545	617113
347	129918	616737
348	130290	616359
349	130662	615981
350	131044	615647
351	131423	615299
352	131794	614916
353	132172	614564
354	132545	614190
355	132920	613823
356	133290	613433
357	133666	613075
358	134042	612711
359	134418	612352
360	134789	611965
361	135150	611539
362	135514	611120
363	135879	610713
364	136253	610340
365	136618	609930
366	136983	609522
367	137355	609139
368	137722	608738
369	138090	608343
370	138465	607979
371	138848	607648
372	139224	607289
373	139600	606925
374	139973	606551
375	140353	606205
376	140725	605827
377	141101	605468
378	141482	605125
379	141849	604726
380	142219	604337
381	142582	603924
382	142955	603549
383	143323	603154
384	143693	602766
385	144094	602510
386	144461	602110
387	144826	601703
388	145193	601303
389	145604	601083
390	145977	600712
391	146351	600338
392	146723	599959
393	147095	599582
394	147476	599241
395	147849	598867
396	148230	598522
397	148609	598172
398	148981	597794
399	149370	597481
400	149794	597308
401	150176	596971
402	150556	596621
403	150936	596275
404	151307	595891
405	151679	595511
406	152051	595130
407	152427	594767
408	152798	594384
409	153161	593968
410	153534	593591
411	153902	593195
412	154271	592805
413	154637	592403
414	155004	592004
415	155397	591707
416	155823	591530
417	156224	591260
418	156628	591000
419	157055	590828
420	157450	590532
421	157825	590162
422	158198	589786
423	158576	589425
424	158963	589098
425	159356	588795
426	159722	588392
427	160091	587999
428	160462	587613
429	160828	587211
430	161193	586802
431	161558	586397
432	161924	585994
433	162286	585576
434	162648	585161
435	163014	584757
436	163405	584446
437	163817	584207
438	164192	583837
439	164574	583490
440	164954	583137
441	165334	582784
442	165705	582400
443	166082	582036
444	166462	581684
445	166835	581306
446	167208	580926
447	167574	580527
448	167950	580157
449	168334	579817
450	168702	579425
451	169077	579051
452	169450	578673
453	169830	578321
454	170205	577951
455	170575	577564
456	170940	577157
457	171310	576770
458	171674	576361
459	172033	575938
460	172406	575561
461	172779	575183
462	173144	574778
463	173505	574364
464	173873	573971
465	174247	573597
466	174623	573228
467	175003	572873
468	175377	572502
469	175752	572129
470	176126	571756
471	176502	571389
472	176878	571020
473	177245	570626
474	177617	570246
475	177994	569882
476	178371	569517
477	178735	569110
478	179114	568753
479	179475	568338
480	179845	567953
481	180211	567552
482	180581	567168
483	180957	566801
484	181332	566429
485	181712	566075
486	182082	565690
487	182458	565322
488	182835	564959
489	183247	564701
490	183624	564335
491	184000	563968
492	184384	563626
493	184752	563232
494	185126	562860
495	185500	562485
496	185875	562114
497	186250	561742
498	186625	561373
499	187003	561009
500	187377	560637
501	187755	560275
502	188129	559901
503	188498	559510
504	188867	559123
505	189248	558768
506	189617	558381
507	189985	557988
508	190351	557590
509	190715	557188
510	191078	556781
511	191440	556375
512	191813	555998
513	192194	555644
514	192560	555247
515	192929	554858
516	193304	554487
517	193671	554095
518	194043	553715
519	194423	553357
520	194794	552978
521	195164	552592
522	195529	552193
523	195903	551819
524	196268	551420
525	196638	551037
526	197007	550650
527	197380	550272
528	197748	549882
529	198121	549506
530	198533	549238
531	198913	548880
532	199285	548501
533	199662	548136
534	200035	547762
535	200407	547382
536	200780	547004
537	201157	546639
538	201535	546277
539	201903	545887
540	202277	545512
541	202698	545265
542	203079	544912
543	203453	544537
544	203833	544179
545	204214	543824
546	204590	543455
547	204963	543077
548	205334	542697
549	205700	542302
550	206071	541920
551	206439	541530
552	206804	541131
553	207171	540740
554	207537	540346
555	207904	539953
556	208269	539555
557	208634	539158
558	209001	538766
559	209373	538388
560	209777	538092
561	210183	537801
562	210566	537449
563	210945	537087
564	211326	536731
565	211702	536362
566	212075	535984
567	212451	535618
568	212822	535235
569	213187	534837
570	213549	534435
571	213912	534033
572	214295	533682
573	214693	533366
574	215069	532998
575	215435	532604
576	215805	532221
577	216186	531862
578	216605	531600
579	217023	531332
580	217408	530986
581	217820	530703
582	218248	530460
583	218647	530144
584	219048	529835
585	219429	529475
586	219803	529100
587	220177	528724
588	220548	528344
589	220920	527963
590	221298	527596
591	221676	527230
592	222051	526856
593	222460	526565
594	222829	526176
595	223242	525894
596	223625	525537
597	223987	525133
598	224353	524739
599	224719	524344
600	225088	523957
601	225458	523572
602	225822	523174
603	226189	522781
604	226551	522380
605	226922	521995
606	227291	521609
607	227676	521259
608	228050	520884
609	228431	520523
610	228810	520159
611	229187	519792
612	229561	519416
613	229929	519027
614	230304	518652
615	230673	518267
616	231049	517896
617	231420	517513
618	231801	517152
619	232182	516792
620	232555	516414
621	232920	516020
622	233303	515663
623	233667	515267
624	234041	514891
625	234418	514522
626	234801	514167
627	235177	513795
628	235555	513429
629	235933	513060
630	236310	512692
631	236687	512323
632	237057	511940
633	237439	511581
634	237813	511204
635	238184	510824
636	238554	510439
637	238931	510069
638	239307	509698
639	239688	509337
640	240061	508960
641	240433	508580
642	240809	508208
643	241202	507873
644	241581	507508
645	241994	507213
646	242362	506826
647	242736	506449
648	243104	506062
649	243474	505678
650	243841	505286
651	244204	504889
652	244575	504507
653	244948	504129
654	245320	503750
655	245690	503365
656	246067	502996
657	246448	502634
658	246832	502278
659	247200	501892
660	247581	501531
661	247955	501153
662	248320	500760
663	248695	500386
664	249065	500004
665	249440	499629
666	249811	499248
667	250177	498857
668	250538	498456
669	250905	498065
670	251277	497686
671	251655	497319
672	252027	496939
673	252405	496572
674	252783	496204
675	253153	495822
676	253524	495439
677	253900	495069
678	254268	494682
679	254647	494316
680	255019	493937
681	255391	493557
682	255766	493184
683	256143	492814
684	256522	492447
685	256893	492067
686	257261	491680
687	257632	491299
688	258012	490934
689	258387	490562
690	258758	490181
691	259128	489797
692	259492	489402
693	259859	489014
694	260227	488628
695	260589	488231
696	260963	487855
697	261366	487534
698	261735	487149
699	262111	486778
700	262485	486403
701	262868	486044
702	263248	485680
703	263625	485310
704	263994	484925
705	264363	484541
706	264740	484172
707	265115	483797
708	265490	483425
709	265857	483036
710	266228	482656
711	266606	482288
712	266973	481900
713	267336	481505
714	267714	481136
715	268081	480749
716	268445	480356
717	268810	479965
718	269181	479585
719	269549	479198
720	269922	478822
721	270311	478473
722	270695	478115
723	271075	477752
724	271445	477368
725	271813	476983
726	272181	476598
727	272551	476216
728	272926	475842
729	273305	475476
730	273682	475106
731	274057	474733
732	274438	474370
733	274816	474001
734	275201	473646
735	275572	473266
736	275948	472894
737	276320	472515
738	276680	472116
739	277058	471748
740	277435	471378
741	277848	471068
742	278254	470748
743	278632	470380
744	279041	470063
745	279458	469759
746	279852	469418
747	280231	469051
748	280610	468683
749	281022	468371
750	281392	467987
751	281817	467697
752	282203	467340
753	282576	466962
754	282948	466584
755	283317	466199
756	283686	465815
757	284051	465424
758	284413	465028
759	284785	464649
760	285157	464271
761	285524	463883
762	285902	463514
763	286300	463176
764	286675	462803
765	287057	462440
766	287425	462054
767	287800	461679
768	288178	461310
769	288556	460940
770	288924	460555
771	289295	460174
772	289664	459791
773	290047	459429
774	290418	459048
775	290797	458680
776	291173	458307
777	291558	457949
778	291944	457591
779	292310	457204
780	292677	456816
781	293045	456431
782	293414	456047
783	293782	455662
784	294143	455267
785	294504	454871
786	294871	454484
787	295244	454106
788	295616	453728
789	296003	453371
790	296365	452978
791	296727	452583
792	297099	452205
793	297462	451813
794	297840	451443
795	298233	451097
796	298608	450722
797	298983	450348
798	299364	449982
799	299743	449615
800	300114	449235
801	300523	448911
802	300894	448531
803	301261	448145
804	301633	447765
805	301992	447369
806	302368	446995
807	302747	446627
808	303116	446243
809	303481	445855
810	303843	445462
811	304201	445063
812	304568	444677
813	304937	444294
814	305312	443920
815	305687	443547
816	306063	443174
817	306437	442798
818	306808	442418
819	307178	442036
820	307548	441656
821	307928	441288
822	308299	440909
823	308676	440538
824	309049	440160
825	309422	439784
826	309796	439409
827	310169	439031
828	310550	438666
829	310925	438292
830	311303	437922
831	311668	437534
832	312038	437153
833	312404	436766
834	312768	436377
835	313133	435989
836	313492	435594
837	313856	435204
838	314223	434819
839	314588	434431
840	314952	434043
841	315324	433665
842	315702	433295
843	316087	432934
844	316461	432559
845	316833	432181
846	317212	431814
847	317594	431448
848	317961	431064
849	318332	430684
850	318705	430309
851	319070	429921
852	319474	429585
853	319835	429194
854	320204	428811
855	320571	428427
856	320937	428040
857	321303	427655
858	321675	427277
859	322045	426897
860	322418	426520
861	322796	426151
862	323170	425776
863	323546	425403
864	323916	425023
865	324293	424652
866	324678	424292
867	325050	423914
868	325420	423533
869	325794	423158
870	326173	422789
871	326544	422410
872	326918	422035
873	327291	421659
874	327662	421279
875	328034	420903
876	328403	420521
877	328783	420154
878	329152	419772
879	329517	419385
880	329883	419000
881	330253	418620
882	330639	418261
883	331027	417903
884	331397	417522
885	331765	417140
886	332132	416756
887	332505	416380
888	332887	416016
889	333253	415630
890	333625	415252
891	334045	414935
892	334421	414563
893	334791	414183
894	335164	413806
895	335548	413443
896	335919	413065
897	336288	412683
898	336664	412310
899	337038	411935
900	337406	411553
901	337786	411186
902	338158	410807
903	338527	410427
904	338951	410112
905	339315	409725
906	339688	409349
907	340084	409000
908	340458	408625
909	340833	408250
910	341206	407874
911	341587	407508
912	341960	407131
913	342331	406752
914	342705	406377
915	343079	406001
916	343454	405628
917	343828	405253
918	344204	404880
919	344579	404506
920	344956	404134
921	345323	403751
922	345701	403380
923	346088	403020
924	346483	402670
925	346864	402303
926	347229	401917
927	347592	401529
928	347954	401139
929	348316	400751
930	348678	400362
931	349038	399971
932	349408	399591
933	349774	399206
934	350140	398822
935	350508	398441
936	350883	398066
937	351256	397691
938	351627	397313
939	352002	396938
940	352379	396567
941	352757	396197
942	353132	395823
943	353513	395455
944	353885	395078
945	354252	394695
946	354625	394319
947	354989	393933
948	355362	393556
949	355733	393179
950	356099	392795
951	356475	392423
952	356870	392071
953	357249	391701
954	357621	391324
955	357997	390951
956	358417	390626
957	358798	390258
958	359175	389887
959	359555	389518
960	359935	389149
961	360306	388771
962	360685	388401
963	361077	388045
964	361455	387675
965	361829	387300
966	362199	386919
967	362575	386547
968	362946	386168
969	363332	385806
970	363699	385424
971	364080	385056
972	364454	384680
973	364830	384308
974	365200	383928
975	365577	383556
976	365947	383177
977	366315	382795
978	366686	382417
979	367058	382040
980	367431	381664
981	367793	381277
982	368162	380896
983	368542	380527
984	368927	380163
985	369305	379793
986	369676	379415
987	370057	379047
988	370435	378675
989	370804	378295
990	371184	377926
991	371551	377543
992	371918	377162
993	372277	376772
994	372641	376386
995	373009	376005
996	373377	375624
997	373745	375243
998	374109	374858
999	374469	374469
1000	374836	374087
1001	375205	373707
1002	375575	373328
1003	375956	372960
1004	376337	372592
1005	376708	372214
1006	377080	371837
1007	377491	371499
1008	377861	371120
1009	378237	370747
1010	378614	370375
1011	378989	370001
1012	379360	369624
1013	379742	369256
1014	380118	368883
1015	380491	368507
1016	380868	368135
1017	381252	367769
1018	381631	367399
1019	382005	367024
1020	382375	366646
1021	382747	366269
1022	383119	365892
1023	383490	365514
1024	383858	365133
1025	384231	364757
1026	384593	364371
1027	384960	363990
1028	385332	363613
1029	385697	363229
1030	386073	362856
1031	386443	362478
1032	386824	362109
1033	387198	361734
1034	387574	361361
1035	387946	360984
1036	388319	360608
1037	388696	360236
1038	389069	359861
1039	389439	359482
1040	389811	359105
1041	390192	358737
1042	390563	358360
1043	390932	357980
1044	391309	357608
1045	391678	357228
1046	392070	356870
1047	392454	356504
1048	392825	356126
1049	393201	355753
1050	393574	355377
1051	393948	355002
1052	394317	354623
1053	394695	354252
1054	395066	353874
1055	395445	353503
1056	395822	353132
1057	396196	352757
1058	396576	352387
1059	396991	352048
1060	397361	351670
1061	397736	351296
1062	398107	350918
1063	398486	350548
1064	398863	350175
1065	399247	349809
1066	399653	349463
1067	400085	349138
1068	400467	348770
1069	400836	348390
1070	401213	348018
1071	401614	347666
1072	401993	347295
1073	402364	346917
1074	402737	346541
1075	403103	346159
1076	403478	345785
1077	403857	345414
1078	404226	345035
1079	404595	344655
1080	404972	344282
1081	405348	343909
1082	405722	343534
1083	406118	343177
1084	406504	342812
1085	406879	342438
1086	407246	342056
1087	407613	341676
1088	407975	341290
1089	408340	340908
1090	408707	340527
1091	409073	340145
1092	409434	339759
1093	409805	339381
1094	410172	339001
1095	410542	338622
1096	410918	338249
1097	411297	337878
1098	411674	337505
1099	412052	337134
1100	412421	336754
1101	412803	336385
1102	413180	336013
1103	413559	335642
1104	413935	335269
1105	414306	334891
1106	414678	334514
1107	415055	334142
1108	415429	333767
1109	415809	333396
1110	416185	333023
1111	416607	332686
1112	416978	332309
1113	417347	331929
1114	417719	331553
1115	418089	331174
1116	418455	330793
1117	418822	330412
1118	419195	330036
1119	419564	329657
1120	419924	329271
1121	420298	328896
1122	420670	328520
1123	421069	328164
1124	421448	327793
1125	421829	327423
1126	422206	327050
1127	422579	326675
1128	422953	326300
1129	423329	325926
1130	423695	325545
1131	424063	325165
1132	424434	324787
1133	424806	324411
1134	425183	324038
1135	425551	323658
1136	425922	323281
1137	426290	322901
1138	426658	322522
1139	427025	322141
1140	427387	321758
1141	427762	321383
1142	428146	321016
1143	428526	320645
1144	428901	320271
1145	429277	319898
1146	429662	319530
1147	430038	319157
1148	430412	318782
1149	430786	318407
1150	431156	318029
1151	431528	317652
1152	431896	317273
1153	432289	316912
1154	432667	316539
1155	433043	316166
1156	433419	315793
1157	433797	315421
1158	434171	315046
1159	434551	314675
1160	434932	314305
1161	435299	313924
1162	435662	313541
1163	436074	313194
1164	436445	312817
1165	436813	312437
1166	437183	312059
1167	437573	311696
1168	437975	311341
1169	438347	310964
1170	438716	310585
1171	439091	310211
1172	439459	309832
1173	439841	309462
1174	440215	309087
1175	440587	308710
1176	440957	308333
1177	441330	307957
1178	441710	307586
1179	442119	307235
1180	442489	306857
1181	442861	306481
1182	443234	306105
1183	443599	305724
1184	443968	305345
1185	444338	304967
1186	444702	304585
1187	445074	304208
1188	445439	303827
1189	445803	303445
1190	446172	303067
1191	446551	302695
1192	446920	302317
1193	447297	301944
1194	447674	301571
1195	448052	301198
1196	448420	300820
1197	448793	300444
1198	449164	300067
1199	449543	299695
1200	449914	299318
1201	450285	298941
1202	450683	298582
1203	451105	298238
1204	451498	297876
1205	451880	297506
1206	452260	297135
1207	452648	296769
1208	453012	296388
1209	453380	296008
1210	453747	295629
1211	454116	295250
1212	454523	294896
1213	454901	294524
1214	455274	294148
1215	455637	293766
1216	455997	293382
1217	456361	293000
1218	456738	292627
1219	457113	292252
1220	457484	291875
1221	457852	291497
1222	458224	291120
1223	458596	290744
1224	458968	290367
1225	459359	290003
1226	459777	289656
1227	460184	289301
1228	460582	288941
1229	460948	288561
1230	461316	288182
1231	461689	287806
1232	462076	287439
1233	462447	287061
1234	462814	286682
1235	463182	286304
1236	463550	285924
1237	463917	285545
1238	464288	285168
1239	464657	284789
1240	465032	284415
1241	465407	284041
1242	465785	283668
1243	466163	283295
1244	466532	282917
1245	466911	282545
1246	467291	282173
1247	467662	281796
1248	468041	281424
1249	468412	281047
1250	468780	280668
1251	469156	280294
1252	469530	279919
1253	469909	279547
1254	470278	279169
1255	470648	278791
1256	471010	278409
1257	471370	278026
1258	471737	277646
1259	472106	277269
1260	472473	276889
1261	472845	276513
1262	473211	276133
1263	473614	275775
1264	473982	275397
1265	474366	275027
1266	474736	274650
1267	475111	274275
1268	475478	273896
1269	475849	273519
1270	476218	273142
1271	476594	272767
1272	476963	272390
1273	477337	272015
1274	477715	271642
1275	478085	271264
1276	478456	270888
1277	478833	270514
1278	479206	270139
1279	479581	269764
1280	479965	269394
1281	480340	269020
1282	480715	268646
1283	481080	268265
1284	481449	267888
1285	481819	267511
1286	482196	267137
1287	482567	266761
1288	482948	266389
1289	483319	266012
1290	483689	265635
1291	484068	265263
1292	484442	264888
1293	484823	264517
1294	485209	264148
1295	485581	263772
1296	485961	263401
1297	486339	263028
1298	486713	262653
1299	487086	262277
1300	487461	261903
1301	487836	261528
1302	488214	261155
1303	488591	260782
1304	488966	260407
1305	489350	260037
1306	489732	259667
1307	490113	259295
1308	490492	258923
1309	490869	258549
1310	491235	258170
1311	491610	257795
1312	491987	257422
1313	492374	257053
1314	492784	256697
1315	493160	256323
1316	493529	255945
1317	493908	255573
1318	494286	255200
1319	494655	254822
1320	495033	254449
1321	495401	254071
1322	495774	253695
1323	496144	253318
1324	496514	252941
1325	496883	252563
1326	497249	252184
1327	497616	251806
1328	497978	251424
1329	498345	251046
1330	498708	250665
1331	499077	250287
1332	499457	249915
1333	499836	249543
1334	500213	249169
1335	500591	248796
1336	500968	248423
1337	501340	248047
1338	501716	247673
1339	502093	247299
1340	502464	246923
1341	502843	246550
1342	503213	246173
1343	503592	245801
1344	504003	245444
1345	504395	245077
1346	504766	244701
1347	505142	244326
1348	505514	243951
1349	505881	243572
1350	506246	243193
1351	506609	242812
1352	506984	242438
1353	507366	242066
1354	507731	241687
1355	508094	241307
1356	508494	240944
1357	508869	240569
1358	509240	240193
1359	509608	239815
1360	509984	239441
1361	510363	239068
1362	510769	238708
1363	511198	238359
1364	511596	237995
1365	511964	237617
1366	512384	237263
1367	512755	236887
1368	513119	236507
1369	513512	236140
1370	513876	235761
1371	514245	235383
1372	514614	235006
1373	514984	234629
1374	515354	234251
1375	515720	233873
1376	516084	233493
1377	516453	233116
1378	516824	232739
1379	517196	232363
1380	517578	231992
1381	517951	231616
1382	518328	231242
1383	518698	230866
1384	519073	230490
1385	519454	230119
1386	519838	229748
1387	520215	229374
1388	520595	229001
1389	520977	228630
1390	521356	228257
1391	521730	227882
1392	522104	227507
1393	522480	227132
1394	522857	226759
1395	523231	226383
1396	523600	226006
1397	523969	225629
1398	524341	225252
1399	524704	224873
1400	525071	224495
1401	525435	224115
1402	525796	223735
1403	526169	223359
1404	526531	222979
1405	526896	222600
1406	527271	222226
1407	527654	221854
1408	528029	221480
1409	528406	221106
1410	528780	220731
1411	529153	220355
1412	529533	219983
1413	529905	219607
1414	530284	219234
1415	530655	218857
1416	531021	218479
1417	531389	218101
1418	531792	217739
1419	532169	217364
1420	532549	216992
1421	532914	216613
1422	533279	216234
1423	533648	215857
1424	534006	215476
1425	534380	215101
1426	534750	214724
1427	535118	214347
1428	535488	213970
1429	535859	213594
1430	536231	213218
1431	536605	212843
1432	536979	212468
1433	537360	212096
1434	537739	211723
1435	538107	211345
1436	538476	210968
1437	538855	210595
1438	539223	210218
1439	539592	209841
1440	539971	209468
1441	540343	209092
1442	540724	208720
1443	541099	208345
1444	541464	207967
1445	541832	207590
1446	542203	207213
1447	542574	206837
1448	542935	206457
1449	543299	206079
1450	543661	205699
1451	544039	205326
1452	544410	204950
1453	544785	204575
1454	545159	204200
1455	545528	203823
1456	545899	203447
1457	546274	203073
1458	546643	202696
1459	547007	202317
1460	547377	201941
1461	547757	201568
1462	548128	201192
1463	548503	200818
1464	548874	200442
1465	549254	200069
1466	549633	199696
1467	550000	199318
1468	550380	198946
1469	550754	198571
1470	551162	198208
1471	551522	197828
1472	551899	197454
1473	552268	197078
1474	552645	196704
1475	553021	196330
1476	553398	195956
1477	553792	195588
1478	554164	195212
1479	554536	194837
1480	554912	194462
1481	555291	194089
1482	555663	193714
1483	556034	193338
1484	556427	192969
1485	556804	192595
1486	557197	192227
1487	557628	191872
1488	558011	191500
1489	558407	191132
1490	558814	190769
1491	559208	190400
1492	559644	190046
1493	560025	189674
1494	560430	189309
1495	560837	188945
1496	561251	188583
1497	561635	188211
1498	562023	187840
1499	562418	187472
1500	562809	187103
1501	563198	186732
1502	563603	186367
1503	564003	186001
1504	564401	185633
1505	564814	185271
1506	565221	184906
1507	565679	184558
1508	566106	184200
1509	566483	183825
1510	566843	183445
1511	567193	183062
1512	567545	182679
1513	567903	182299
1514	568263	181919
1515	568664	181552
1516	569032	181175
1517	569391	180794
1518	569733	180409
1519	570095	180030
1520	570441	179645
1521	570781	179260
1522	571123	178874
1523	571474	178492
1524	571816	178106
1525	572168	177724
1526	572514	177340
1527	572876	176961
1528	573247	176585
1529	573643	176217
1530	574012	175840
1531	574381	175463
1532	574792	175099
1533	575155	174721
1534	575504	174338
1535	575835	173950
1536	576161	173560
1537	576502	173175
1538	576894	172806
1539	577302	172441
1540	577739	172084
1541	578198	171734
1542	578722	171403
1543	579249	171073
1544	579749	170735
1545	580178	170375
1546	580695	170042
1547	581103	169676
1548	581481	169301
1549	581893	168936
1550	582262	168559
1551	582605	168174
1552	582957	167792
1553	583298	167407
1554	583644	167023
1555	583984	166638
1556	584330	166254
1557	584731	165886
1558	585150	165523
1559	585512	165144
1560	585848	164758
1561	586197	164375
1562	586623	164014
1563	587029	163647
1564	587482	163293
1565	587960	162946
1566	588380	162583
1567	588823	162226
1568	589191	161849
1569	589622	161489
1570	590064	161131
1571	590502	160772
1572	590952	160417
1573	591369	160052
1574	591794	159690
1575	592195	159321
1576	592561	158943
1577	592913	158561
1578	593241	158172
1579	593574	157785
1580	593942	157407
1581	594344	157039
1582	594700	156658
1583	595080	156283
1584	595437	155903
1585	595788	155521
1586	596123	155134
1587	596464	154750
1588	596854	154378
1589	597267	154012
1590	597702	153651
1591	598121	153287
1592	598537	152921
1593	598951	152556
1594	599354	152187
1595	599752	151817
1596	600174	151452
1597	600577	151083
1598	600990	150717
1599	601412	150353
1600	601789	149977
1601	602141	149595
1602	602489	149212
1603	602852	148833
1604	603193	148449
1605	603552	148069
1606	603905	147688
1607	604285	147313
1608	604666	146938
1609	605058	146567
1610	605467	146199
1611	605876	145831
1612	606285	145463
1613	606694	145095
1614	607101	144726
1615	607501	144356
