iter	RMSE
0	24.54721395
1	24.44677377
2	24.35706397
3	24.25120203
4	24.16385785
5	24.08358257
6	24.01506306
7	23.91392981
8	23.81604243
9	23.6995151
10	23.60755685
11	23.53110873
12	23.4523417
13	23.38122492
14	23.31124256
15	23.2507322
16	23.1473076
17	23.05431314
18	22.97923937
19	22.9023861
20	22.81870301
21	22.72666166
22	22.6279994
23	22.5543189
24	22.47254188
25	22.40186831
26	22.31825757
27	22.23614299
28	22.16267243
29	22.08536953
30	21.98447886
31	21.9179143
32	21.84452829
33	21.77610599
34	21.70675548
35	21.64054524
36	21.55416743
37	21.48733786
38	21.40388548
39	21.33181109
40	21.26231314
41	21.1793158
42	21.11478051
43	21.06355455
44	21.00070816
45	20.9145871
46	20.83242155
47	20.77810055
48	20.72509325
49	20.66217461
50	20.60132285
51	20.5439246
52	20.46597333
53	20.40054808
54	20.33989243
55	20.2814044
56	20.21205128
57	20.14902391
58	20.07224375
59	19.99073934
60	19.91860306
61	19.84733908
62	19.76729987
63	19.70706977
64	19.63745514
65	19.57348843
66	19.51463727
67	19.45285562
68	19.3778044
69	19.31331264
70	19.24757945
71	19.18965265
72	19.13339959
73	19.08709725
74	19.02498515
75	18.96133952
76	18.90808601
77	18.8460314
78	18.79281647
79	18.72038211
80	18.66513977
81	18.59999485
82	18.55422157
83	18.49594992
84	18.41520529
85	18.34317477
86	18.25697598
87	18.19984967
88	18.14927028
89	18.09545831
90	18.03492675
91	17.96758614
92	17.92046836
93	17.86049979
94	17.80576662
95	17.76179605
96	17.70236026
97	17.63623783
98	17.58888785
99	17.52852536
100	17.46737491
101	17.43006931
102	17.36994898
103	17.30027911
104	17.25523169
105	17.21621588
106	17.14587757
107	17.07673732
108	17.01689031
109	16.96948275
110	16.915919
111	16.8654898
112	16.81208376
113	16.7641971
114	16.72034308
115	16.66337309
116	16.63264397
117	16.58467685
118	16.5456795
119	16.5042729
120	16.44573062
121	16.40038684
122	16.34769239
123	16.30726514
124	16.25216413
125	16.20546669
126	16.150673
127	16.10615092
128	16.05697126
129	16.00723905
130	15.95163939
131	15.90390644
132	15.8527591
133	15.81163149
134	15.76922232
135	15.72676309
136	15.68157378
137	15.62716744
138	15.59010982
139	15.54624252
140	15.49716409
141	15.44507604
142	15.40154949
143	15.34355062
144	15.3072522
145	15.26482308
146	15.20659873
147	15.16113551
148	15.10745426
149	15.05866121
150	15.02134878
151	14.97907157
152	14.94157676
153	14.90487977
154	14.86032841
155	14.81724387
156	14.76944735
157	14.72395612
158	14.68171637
159	14.65229139
160	14.60147061
161	14.55018016
162	14.50397855
163	14.47071902
164	14.43868223
165	14.39755957
166	14.36014817
167	14.32651596
168	14.2848527
169	14.24289469
170	14.20083026
171	14.17064018
172	14.12711606
173	14.08868181
174	14.05009326
175	14.01164482
176	13.96989992
177	13.9349172
178	13.89419225
179	13.85378861
180	13.81882148
181	13.7725354
182	13.73351717
183	13.68354625
184	13.6488636
185	13.61766346
186	13.57828817
187	13.54668637
188	13.50201731
189	13.454592
190	13.41530039
191	13.38241981
192	13.34217223
193	13.30300985
194	13.25935187
195	13.22046468
196	13.17962222
197	13.14009654
198	13.09535521
199	13.06007885
200	13.02402125
201	12.9892343
202	12.95577394
203	12.91903294
204	12.88257537
205	12.85474461
206	12.81746346
207	12.79096425
208	12.75484132
209	12.7235479
210	12.68551791
211	12.63887614
212	12.60174584
213	12.57287256
214	12.538268
215	12.50923778
216	12.47164505
217	12.43426003
218	12.39189931
219	12.36312326
220	12.33040041
221	12.2900836
222	12.25942256
223	12.22506773
224	12.18714782
225	12.15248547
226	12.12019845
227	12.09113125
228	12.06449151
229	12.0375712
230	12.00065167
231	11.96852506
232	11.94030595
233	11.90846634
234	11.87642026
235	11.84238457
236	11.81240746
237	11.77852848
238	11.74646609
239	11.71422127
240	11.68795169
241	11.65715021
242	11.62193425
243	11.59122881
244	11.55481726
245	11.52219053
246	11.49535155
247	11.46223839
248	11.42656211
249	11.40067282
250	11.36601507
251	11.33998643
252	11.31350458
253	11.28448075
254	11.25452706
255	11.22417527
256	11.19024544
257	11.16937626
258	11.14002462
259	11.10817607
260	11.07828857
261	11.04929268
262	11.02302974
263	11.0032078
264	10.97460491
265	10.9487529
266	10.91421446
267	10.88820159
268	10.86321069
269	10.84532789
270	10.81929972
271	10.79109518
272	10.7620793
273	10.73498456
274	10.69951336
275	10.66946103
276	10.64301525
277	10.61476747
278	10.5916266
279	10.56622615
280	10.54124117
281	10.51273097
282	10.48681101
283	10.46404607
284	10.43353801
285	10.40486794
286	10.3735212
287	10.34466636
288	10.30998204
289	10.29205051
290	10.26923982
291	10.24543779
292	10.22232413
293	10.20048044
294	10.17437466
295	10.15050997
296	10.1216416
297	10.09936437
298	10.07713376
299	10.05338723
300	10.03042561
301	10.0007048
302	9.978252376
303	9.954668696
304	9.931377499
305	9.907514417
306	9.879440607
307	9.858621968
308	9.838044992
309	9.820251585
310	9.794566009
311	9.768452445
312	9.740484514
313	9.717220649
314	9.692816975
315	9.668859285
316	9.638894846
317	9.611841007
318	9.589918692
319	9.565948733
320	9.543071473
321	9.520098727
322	9.500088934
323	9.479714678
324	9.461598473
325	9.443187036
326	9.424221732
327	9.399246266
328	9.37871611
329	9.360349079
330	9.344007244
331	9.315519962
332	9.296337188
333	9.267691205
334	9.245651255
335	9.22319545
336	9.204196215
337	9.183282484
338	9.1585407
339	9.133800876
340	9.110930302
341	9.093020804
342	9.072691872
343	9.043785388
344	9.027076229
345	9.00850337
346	8.990982436
347	8.967953857
348	8.949237731
349	8.923547627
350	8.899073023
351	8.878435727
352	8.860052142
353	8.839290039
354	8.814258164
355	8.79705485
356	8.779951936
357	8.757658214
358	8.73455345
359	8.718487309
360	8.698410366
361	8.675519006
362	8.661854637
363	8.641816106
364	8.6182923
365	8.590193986
366	8.572696393
367	8.562801072
368	8.539301537
369	8.518356158
370	8.494830738
371	8.478359965
372	8.460172363
373	8.43990576
374	8.41997867
375	8.40034456
376	8.379595363
377	8.359620303
378	8.341566138
379	8.319737507
380	8.301099756
381	8.284955155
382	8.265594202
383	8.249752994
384	8.23040047
385	8.204037538
386	8.18649496
387	8.165664977
388	8.149739875
389	8.130216423
390	8.11555235
391	8.100377654
392	8.082267622
393	8.063588764
394	8.042349817
395	8.02500923
396	8.008153043
397	7.997915077
398	7.979070612
399	7.965234704
400	7.944372007
401	7.927387501
402	7.906940881
403	7.889225072
404	7.87104452
405	7.853711237
406	7.837221355
407	7.821353863
408	7.806371327
409	7.789475741
410	7.773383298
411	7.756384824
412	7.741959684
413	7.720920992
414	7.703619762
415	7.683222326
416	7.670328509
417	7.655382238
418	7.641038254
419	7.624595606
420	7.610155888
421	7.592042919
422	7.572767003
423	7.557313993
424	7.540818468
425	7.524934581
426	7.509391971
427	7.492842176
428	7.474063727
429	7.455582865
430	7.441959323
431	7.423277239
432	7.409831109
433	7.394940639
434	7.37660014
435	7.358950321
436	7.343137106
437	7.328997192
438	7.314220741
439	7.299041813
440	7.28231392
441	7.261296077
442	7.24868872
443	7.231741111
444	7.219260979
445	7.204963504
446	7.191474614
447	7.178626286
448	7.162582727
449	7.15020906
450	7.137811144
451	7.121704374
452	7.102142072
453	7.082675054
454	7.072015626
455	7.05481731
456	7.043006744
457	7.027960323
458	7.0143253
459	6.997961992
460	6.98328829
461	6.965693892
462	6.950059723
463	6.93838544
464	6.925941658
465	6.911540215
466	6.897474046
467	6.886020258
468	6.872392681
469	6.858857888
470	6.842334441
471	6.826031383
472	6.811886653
473	6.79629197
474	6.782354022
475	6.767098763
476	6.753868102
477	6.73703573
478	6.721787754
479	6.707672417
480	6.69527557
481	6.682019624
482	6.66699466
483	6.651717368
484	6.640894027
485	6.629823992
486	6.616967167
487	6.603921089
488	6.589361932
489	6.575721028
490	6.559695698
491	6.549922224
492	6.536486425
493	6.527243212
494	6.51478101
495	6.50035023
496	6.483751384
497	6.473004559
498	6.460553216
499	6.445598138
500	6.432208493
501	6.42014664
502	6.406584132
503	6.393309196
504	6.381034687
505	6.366835823
506	6.353430867
507	6.337562245
508	6.327414215
509	6.311597807
510	6.298664532
511	6.286911886
512	6.274680296
513	6.261670642
514	6.247792329
515	6.236323422
516	6.224695986
517	6.210895109
518	6.198591796
519	6.182618048
520	6.169570202
521	6.160518709
522	6.151941235
523	6.138153828
524	6.123372552
525	6.106851265
526	6.094133377
527	6.083388771
528	6.070296628
529	6.055109556
530	6.04544997
531	6.033787595
532	6.02422491
533	6.010001571
534	5.998246198
535	5.986817052
536	5.970556017
537	5.957897737
538	5.944499652
539	5.934044489
540	5.92314958
541	5.914312342
542	5.903288146
543	5.8928414
544	5.879499361
545	5.870258406
546	5.85829581
547	5.841809311
548	5.829097636
549	5.813730497
550	5.801575427
551	5.792068982
552	5.78027255
553	5.768491121
554	5.762084632
555	5.750761717
556	5.73810201
557	5.72309592
558	5.716458302
559	5.709944752
560	5.698492528
561	5.684741925
562	5.671714498
563	5.659809195
564	5.64870795
565	5.638420752
566	5.625523441
567	5.609808028
568	5.598610471
569	5.58868787
570	5.575282586
571	5.568295083
572	5.555163363
573	5.544661223
574	5.532759877
575	5.522247309
576	5.513194962
577	5.501271276
578	5.49309648
579	5.481493047
580	5.470310452
581	5.456296992
582	5.44378131
583	5.432709004
584	5.419345117
585	5.408004118
586	5.400770357
587	5.387877463
588	5.377368531
589	5.36401542
590	5.351694603
591	5.342357278
592	5.331049336
593	5.32093057
594	5.307725446
595	5.294192596
596	5.284030865
597	5.271180809
598	5.260006998
599	5.247293413
600	5.237559946
601	5.226592056
602	5.216868863
603	5.208863817
604	5.198629025
605	5.189895239
606	5.178883485
607	5.167746805
608	5.158789707
609	5.148687713
610	5.136026289
611	5.122586465
612	5.108776834
613	5.097563338
614	5.087611097
615	5.07915143
616	5.071581693
617	5.062000341
618	5.052079119
619	5.04012034
620	5.034241755
621	5.022723236
622	5.011987291
623	5.002541433
624	4.990375099
625	4.981651913
626	4.97005027
627	4.960639434
628	4.951371658
629	4.938491103
630	4.928933897
631	4.916839004
632	4.907728516
633	4.898552973
634	4.891352958
635	4.881625228
636	4.871950982
637	4.863003595
638	4.854654376
639	4.843804309
640	4.836067336
641	4.828044026
642	4.81568505
643	4.802041468
644	4.788456747
645	4.77934732
646	4.768059678
647	4.755945668
648	4.745299566
649	4.737079215
650	4.726906627
