Held-out period,Green R2,Dead R2,Clover R2,GDM R2,Total R2,Weighted R2
Early,0.2943 ± 0.0573,0.0098 ± 0.2104,-31.4041 ± 3.0361,0.6651 ± 0.0368,0.6802 ± 0.0143,0.6874 ± 0.0172
Middle,0.7282 ± 0.0509,0.2005 ± 0.1774,0.5725 ± 0.0843,0.6408 ± 0.0478,0.6297 ± 0.0174,0.7462 ± 0.0112
Late,0.5993 ± 0.0225,0.3738 ± 0.0882,0.6731 ± 0.0379,0.6439 ± 0.0215,0.6213 ± 0.0418,0.7153 ± 0.0182
