Target,R2_mean,R2_std,RMSE_mean,MAE_mean,Bias_mean
Green,0.6484062,0.26705232,12.940427,8.873718,-1.7399497
Dead,0.29206905,0.26535726,9.51341,7.0735955,0.21227929
Clover,-10.09581,54.061127,7.6951065,4.282589,-0.13598734
GDM,0.67682767,0.15474987,12.780666,9.024021,-1.2779145
Total,0.6983315,0.1037219,14.00248,10.042324,-1.0648743
