Protocol,N_results,Weighted R2,R2 range,RMSE Total,MAE Total,Bias Total
Random stratified 5-fold CV,25,0.8402 ± 0.0347,"[0.7582, 0.8942]",12.80 ± 2.09,8.85 ± 1.08,-0.741 ± 1.431
Date-grouped 5-fold CV,25,0.7785 ± 0.0527,"[0.6728, 0.8743]",14.10 ± 3.13,10.11 ± 2.21,-1.087 ± 1.957
Date-location grouped 5-fold CV,25,0.7833 ± 0.0514,"[0.6920, 0.8733]",13.57 ± 3.46,9.89 ± 2.26,-0.378 ± 1.866
Date-location grouped (weighted stratify),25,0.7653 ± 0.0515,"[0.6548, 0.8520]",14.13 ± 3.49,10.29 ± 2.24,-0.494 ± 2.233
Leave-one-period-out,15,0.7163 ± 0.0289,"[0.6616, 0.7631]",15.12 ± 4.03,10.81 ± 2.43,-1.741 ± 2.103
Leave-one-state-out,20,0.6761 ± 0.0976,"[0.5423, 0.8341]",15.19 ± 5.86,10.94 ± 3.28,-3.868 ± 6.003
