Protocol,Green R2,Dead R2,Clover R2,GDM R2,Total R2,Weighted R2
Random stratified 5-fold CV,0.8328 ± 0.0514,0.5185 ± 0.1578,0.7933 ± 0.0741,0.8145 ± 0.0548,0.7848 ± 0.0469,0.8412 ± 0.0352
Date-grouped 5-fold CV,0.7146 ± 0.1059,0.2721 ± 0.2787,0.3902 ± 0.6480,0.6833 ± 0.1148,0.6951 ± 0.1209,0.7722 ± 0.0627
Date-location grouped 5-fold CV,0.6931 ± 0.1582,0.3386 ± 0.2415,0.4719 ± 0.4905,0.7020 ± 0.0924,0.7082 ± 0.0909,0.7818 ± 0.0498
Date-location grouped (weighted stratify),0.6879 ± 0.1363,0.3138 ± 0.2206,0.6007 ± 0.1957,0.6786 ± 0.1024,0.6951 ± 0.0878,0.7722 ± 0.0556
Leave-one-period-out,0.5763 ± 0.1698,0.1995 ± 0.2661,-5.9859 ± 10.1766,0.6551 ± 0.0271,0.6569 ± 0.0239,0.7294 ± 0.0226
Leave-one-state-out,0.2840 ± 0.4584,0.0180 ± 0.1499,-66.4774 ± 128.7523,0.4792 ± 0.2378,0.6170 ± 0.1253,0.6782 ± 0.0901
