Protocol,N_results,Weighted R2,R2 range,RMSE Total,MAE Total,Bias Total
Random stratified 5-fold CV,25,0.8430 ± 0.0340,"[0.7630, 0.8852]",12.77 ± 2.05,8.88 ± 1.10,-0.593 ± 1.467
Date-grouped 5-fold CV,25,0.7785 ± 0.0539,"[0.6628, 0.8810]",14.00 ± 2.80,10.02 ± 1.80,-0.746 ± 2.105
Date-location grouped 5-fold CV,25,0.7837 ± 0.0510,"[0.6921, 0.8746]",13.51 ± 3.44,9.96 ± 2.21,-0.285 ± 1.726
Date-location grouped (weighted stratify),25,0.7753 ± 0.0518,"[0.6611, 0.8585]",14.07 ± 3.62,10.25 ± 2.19,-0.326 ± 2.890
Leave-one-period-out,15,0.7254 ± 0.0197,"[0.7034, 0.7679]",14.97 ± 4.08,10.64 ± 2.44,-1.956 ± 3.059
Leave-one-state-out,20,0.6826 ± 0.0851,"[0.5635, 0.8261]",14.92 ± 5.73,10.59 ± 3.13,-3.653 ± 5.301
