Protocol,Green R2,Dead R2,Clover R2,GDM R2,Total R2,Weighted R2
Random stratified 5-fold CV,0.8370 ± 0.0438,0.5629 ± 0.1182,0.7921 ± 0.0794,0.8125 ± 0.0554,0.7873 ± 0.0468,0.8430 ± 0.0340
Date-grouped 5-fold CV,0.7191 ± 0.1144,0.2952 ± 0.3343,0.1905 ± 1.8391,0.6802 ± 0.1107,0.7071 ± 0.0964,0.7785 ± 0.0539
Date-location grouped 5-fold CV,0.6949 ± 0.1200,0.2724 ± 0.2875,0.3933 ± 0.8170,0.6955 ± 0.1008,0.7162 ± 0.0912,0.7837 ± 0.0510
Date-location grouped (weighted stratify),0.7081 ± 0.1220,0.2645 ± 0.3894,0.6241 ± 0.2015,0.6979 ± 0.0794,0.6931 ± 0.0840,0.7753 ± 0.0518
Leave-one-period-out,0.5684 ± 0.1735,0.1275 ± 0.1850,-5.4108 ± 9.0737,0.6563 ± 0.0346,0.6518 ± 0.0378,0.7254 ± 0.0197
Leave-one-state-out,0.2606 ± 0.5303,0.1237 ± 0.1256,-52.9000 ± 97.6077,0.5115 ± 0.2022,0.6156 ± 0.1287,0.6826 ± 0.0851
