Held-out period,Green R2,Dead R2,Clover R2,GDM R2,Total R2,Weighted R2
Early,0.3578 ± 0.0161,-0.1070 ± 0.2301,-19.2216 ± 5.8301,0.6773 ± 0.0160,0.6837 ± 0.0049,0.7051 ± 0.0025
Middle,0.7481 ± 0.0223,0.3034 ± 0.0668,0.5630 ± 0.0339,0.6446 ± 0.0317,0.6476 ± 0.0207,0.7561 ± 0.0104
Late,0.6230 ± 0.0285,0.4022 ± 0.0898,0.7008 ± 0.0137,0.6433 ± 0.0193,0.6395 ± 0.0131,0.7269 ± 0.0065
