Target,R2_mean,R2_std,RMSE_mean,MAE_mean,Bias_mean
Green,0.6497668,0.2876722,12.892883,8.808375,-2.3571773
Dead,0.29081246,0.3024224,9.451869,6.6414237,-0.5020778
Clover,-8.067866,41.422413,7.5381203,4.1961727,-0.30170164
GDM,0.6831533,0.13885175,12.658931,8.881801,-1.5530554
Total,0.70136315,0.100580685,13.939234,9.992743,-1.1197445
