Validation protocol,Target 1,Target 2,Target 3,Target 4,Target 5,Weighted R2
Random stratified 5-fold CV,0.8370,0.5629,0.7921,0.8125,0.7873,0.8430
Date-grouped 5-fold CV,0.7191,0.2952,0.1905,0.6802,0.7071,0.7785
Date-location grouped 5-fold CV,0.6949,0.2724,0.3933,0.6955,0.7162,0.7837
Date-location grouped 5-fold CV stratified by weighted targets,0.7081,0.2645,0.6241,0.6979,0.6931,0.7753
Leave-one-period-out,0.5684,0.1275,-5.4108,0.6563,0.6518,0.7254
Leave-one-state-out,0.2606,0.1237,-52.9000,0.5115,0.6156,0.6826
