Held-out period,Target 1,Target 2,Target 3,Target 4,Target 5,Weighted R2
Early,0.2839,-0.1092,-57.0376,0.6559,0.6633,0.6947
Middle,0.7204,0.4051,0.3169,0.6352,0.6645,0.7382
Late,0.6425,0.1937,0.6888,0.6669,0.6179,0.7240
