Held-out period,Target 1,Target 2,Target 3,Target 4,Target 5,Weighted R2
Early,0.3578,-0.1070,-19.2216,0.6773,0.6837,0.7051
Middle,0.7481,0.3034,0.5630,0.6446,0.6476,0.7561
Late,0.6230,0.4022,0.7008,0.6433,0.6395,0.7269
